state_po,pvi_1978,pvi_1982,pvi_1986,pvi_1990,pvi_1994,pvi_1998,pvi_2002,pvi_2006,pvi_2010,pvi_2014,pvi_2018,pvi_2022
AL,29.2,30.6,11.6,30.6,8.1,-7.3,-9.0,-18.5,-30.0,-28.8,-25.4,-46.2
WY,-26.2,-54.2,-49.0,-16.9,-4.2,-17.2,-18.5,-7.9,-41.2,-42.7,-43.7,-44.1
LA,-8.7,38.0,37.5,93.3,22.7,40.0,-21.2,-37.8,-29.7,-36.3,-27.8,-38.4
AR,-42.1,-7.3,8.0,4.3,3.3,-28.4,22.6,12.3,-8.4,-26.2,-35.4,-34.3
ID,-26.2,-17.9,-22.1,9.7,-21.4,-6.8,-23.4,-24.0,-20.0,-19.3,-35.4,-33.9
OK,3.5,15.0,9.2,14.5,-11.8,-23.7,-9.9,-23.6,-32.9,-37.7,-33.5,-32.9
WV,22.5,13.8,41.0,27.4,40.7,83.9,38.8,8.7,-3.6,-7.0,-25.4,-31.9
SC,25.6,-3.0,16.7,9.7,-19.2,-19.5,-17.9,-19.2,-9.6,-25.0,-17.5,-31.0
UT,-20.7,-48.5,-17.8,3.3,0.7,-38.7,-11.9,-16.2,-21.2,-24.2,-32.0,-29.2
KY,3.2,7.2,9.3,-12.6,-9.1,-14.0,-26.2,-8.2,-17.8,-20.0,-28.3,-28.8
TN,3.9,7.6,5.4,5.5,-3.1,-3.9,2.4,-3.7,-20.4,-23.7,-27.8,-27.5
MS,-5.8,5.4,10.4,55.7,24.5,8.7,3.8,-15.1,-2.2,-10.6,-15.8,-25.5
NE,-34.6,-67.2,-39.2,-12.3,-20.1,-55.4,-71.8,-19.5,-33.7,-22.4,-31.5,-24.3
IN,-3.9,-13.5,-8.0,3.0,-5.0,-6.1,-6.9,-8.5,-10.6,-15.0,-18.5,-18.2
MT,-7.6,-4.3,-1.8,-7.7,15.5,-6.3,-26.2,-27.5,-21.0,-8.5,-12.2,-18.1
MN,-4.2,-1.7,9.6,,,,,-34.3,-10.7,-43.9,,-18.1
MO,16.5,2.3,5.9,0.9,11.9,5.1,-2.0,-10.1,-14.6,-16.8,-20.3,-18.0
TX,9.4,20.4,5.1,1.4,-5.4,-4.9,-3.1,-16.1,-28.5,-21.9,-11.0,-17.4
